spot,recommend,rank,satellite
emitime实景密室逃脱(秘图分店),34,4.5,科华北路盛隆街保利中心c座1408室(兵哥豌豆面 钟水饺 成都银行 锦绣路)
乐宝王国（环球中心店）,16,4.8,成都市武侯区高新区天府大道北段1700号（新世纪环球购物中心3楼）
濯锦楼,24,3.9,成都市武侯区望江楼公园文物保护区内
成都南郊公园,95,4.6,四川省成都武侯区武侯祠大街235号
东坡休闲广场,53,4.4,成都市青羊区青羊大道
成都东门城墙遗址,20,3.8,成都市锦江区清莲上街
尊尚柏丽（世纪城店）,25,4.2,成都市武侯区天府大道中段177号天鹅湖花园17栋二楼
明堂创意工作区,16,4.4,成都市青羊区奎星楼街55号
棠湖公园,126,4.6,成都市双流县棠湖西路一段2号
大中华国际演艺,68,4.2,成都市青羊区人民中路一段15号
宝狮湖,42,4.3,成都市龙泉驿区长松乡宝狮村
双流中心公园,81,4.7,成都市双流县金河路
成都常乐亚健康调养(世豪店),4,5.0,成都市高新区剑南大道与天府二街交汇处世豪广场6楼
成都御手国医馆（广福桥店）,6,4.8,成都市武侯区广福桥正街2号附15号
五津风景区,33,4.4,成都市新津县
辛亥秋保路死事纪念碑,57,4.1,成都市青羊区人民公园西北角
time密室,35,4.4,春熙路伊藤洋华堂对面京都大厦14楼09号(伊藤洋华堂，龙抄手)
上弦机械真人密室逃脱(宽窄巷子...,21,4.7,实业街9号院2栋1单元102室(宽窄巷子 泡桐树小学北区对面)
薛涛纪念馆,23,3.9,成都市武侯区望江楼公园文物保护区内
浣笺亭,18,3.9,成都市武侯区望江楼公园文物保护区内
成都常乐亚健康调养(航空路店),5,4.4,成都市武侯区航空路7号华尔兹广场3楼（近新希望路）
文锦江温泉,94,4.1,成都市近郊崇州市万家镇文锦江温泉旅游开发区
掷笔槽,20,4.4,成都市都江堰市青城山景区内
新都泥巴沱,61,4.2,成都市新都区南三公里的毗河南岸
铁像寺水街,29,4.5,成都市武侯区铁像寺路66号
家珍公园,15,4.3,成都市青白江区城厢镇大东街
尊尚柏丽（环球店）,11,4.5,成都市武侯区天府大道北段1700号环球购物中心二楼C03
成都麓山国际高尔夫球场,29,4.4,成都市双流麓山大道二段六号
成都御手国医馆（建设路店）,5,4.6,成都市成华区建设北路三段26号成功银玺国际三楼（龙湖三千集）
记忆四川,23,4.4,宽巷子37号(窄巷子42号)
Key Man密室逃脱,18,4.7,成都市武侯区锦绣路1号保利中心2幢A座18楼13号
成都御手国医馆（紫荆店）,5,4.8,成都市武侯区紫薇东路95号附2号（大蓉和对面）
花水湾冰火漂流,14,4.3,成都市大邑县花水湾镇
成都卧龙谷高尔夫俱乐部,28,4.6,成都市龙泉驿区大面镇飞鹅村卧龙大道1号
柏林童话,102,4.5,成都市天府新区新兴镇柏杨村
潜行密室·VR体验馆,33,4.5,武侯区洗面桥街22号城市阳光大厦22楼6号(新博美装饰城)
成都常乐亚健康调养(金牛万达店),2,4.0,成都市金牛区一环路北三段1号（万达广场万达百货5F-05号铺）
龙泉枇杷沟,39,4.1,成都市龙泉驿区
中国艺库,18,4.0,成都市龙泉驿区洛带古镇内，靠近槐树中街
侏罗纪温泉公园,32,4.2,成都市都江堰市灵秀路1号（市区近彩虹大道与灵秀路路口）
城厢古镇,15,4.2,成都市青白江区城厢镇
灸正堂健康会馆（浆洗店）,44,4.4,成都市武侯区洗面桥街30号成都高速（交投）大厦B栋12F
何日君温泉水疗（静居寺店）,39,4.4,成都市锦江区静居寺南路88号
龙门桃花沟,7,4.7,成都市青白江区姚渡镇龙门村桂红路
盖碗儿·梨园茶馆（川剧变脸表演...,23,4.7,成都市青羊区天府广场地铁站负一楼B05（生命奥秘博物馆旁）
道源圣城温泉,30,3.9,大邑县鹤鸣山平阳路1号附7号
鹤鸣山,41,4.2,成都市大邑县鹤鸣乡大双路
洛水湿地公园,25,4.4,成都市龙泉驿区洛带古镇西侧
东郊记忆荷苗小剧场成华小礼堂店,12,4.4,成都市东郊记忆中央大道23号荷苗小剧场成华小礼堂店（近南大门）
安顺廊桥,40,4.6,成都市锦江区滨江东路66号
刘备墓,88,4.5,四川省成都武侯区武侯祠内
陈家桅杆,17,3.8,成都市温江区寿安乡天鹅村
凤凰山公园,76,4.3,成都市金牛区北新干道辅路
国色天乡萌宠乐园,14,4.6,成都市温江区万春镇天乡路国色天乡乐园摩天轮下
成都常乐亚健康调养(建设路店),2,5.0,成都市成华区建设路2号国光大厦附5楼（伊藤洋华堂旁）
宝山旅游度假区,15,4.4,成都市彭州市龙门山镇宝山村
天府庄园,14,3.5,成都市青白江区福洪乡幸福村
吟诗楼,24,3.8,成都市武侯区望江楼公园文物保护区内
MS魔幻空间密室逃脱,27,4.5,成都市金牛区人民北路二段肖家村二巷23号三楼
诺亚方舟（羊犀店）,55,3.9,成都市金牛区金科南路169号
龙泉湖,74,4.2,成都市龙泉驿区金龙山庄北路
沙湾棕榈泉游泳馆,18,4.8,成都市沙湾路258号加州花园酒店贵宾楼5楼
成都蒲江大溪谷高尔夫球场,24,4.3,成都市蒲江县顺城路88号
西街就里,45,4.6,都江堰市古城区西街39号(近南桥)
龙藏寺,23,4.0,成都市新都区新繁镇荣军路86号
四川客家博物馆,14,4.3,成都市龙泉驿区八角井街
IBOX爱盒子创意空间,20,4.3,成都市锦江区牛王庙锦东路一段
温江绿道红枫红叶节,27,4.5,成都市温江生态大道踏水段（近国色天香）
儿童音乐剧《寻梦的猫》,13,4.5,成都市金牛区西华大道16号成都欢乐谷华侨城大剧院
丽辰CEO会所,16,4.9,成都市二环路西二段19号仁和春天酒店7楼
音乐剧《金沙》演出,34,4.4,成都市金牛区金博路9号金沙剧场
玉垒关,30,4.4,成都市都江堰市都江堰景区 ‎
白岩寺,21,4.3,成都市大邑县金星乡
玉垒阁,16,4.4,成都市都江堰市城西公园路都江堰风景名胜区内
成都保利高尔夫球会,21,4.3,成都市蜀龙大道南段1980号
西岭峡谷漂流,75,4.7,成都市大邑县西岭镇云华村
嗨堡儿童乐园,21,4.5,新乐中街神仙树缤纷四号楼二楼
古佛堰,13,3.8,成都市双流县黄龙溪镇
《天府蜀韵》演出,34,4.4,成都市金牛区西华大道16号（欢乐谷大剧院）
鹿野苑私立石刻艺术博物馆,9,4.2,成都市郫县新民场镇云桥村
南湖梦幻岛嬉水乐园,47,4.6,成都市南延线南湖度假风景区
连锁陷阱密室(新城市广场店),24,4.6,西大街1号新城市广场D栋4F
非遗博览园,30,4.3,光华大道2段601号
新津田园牧歌生态农业开发园,21,3.9,成都市新津县花桥镇新普路长春村
天府乡村高尔夫俱乐部,2,4.5,成都市青羊区光华大道一段光耀三路188号
四川国际高尔夫俱乐部,22,4.2,成都市双流县胜利镇云岭路59号
星期六儿童乐园,15,4.7,成都市佳灵路3号红牌楼广场家乐福2F（肯德基旁）
金龙景区,14,4.1,成都市龙泉驿区洛带镇长安街社区，距离洛带古镇约7.5公里
燃灯古寺,14,4.1,成都市龙泉驿区洛带古镇八角井街130号
黑暗中对话,27,4.3,成都市锦江区滨江东路232号
江西会馆,19,3.9,成都市龙泉驿区龙泉镇北10公里洛带古镇江西巷
